gold/silver residual, 15m, 2010-06-01 -> 2018-06-15
beta over 20 trading days, causal; non-overlapping trades only
a round trip costs 3.40 bp if spreads scale with price, 10.26 bp if they are constant in dollars
15 cells are printed below and that is the multiplicity: the best of 15 looks is not evidence, it is a search

residual accumulated over 4h: 190261 aligned bars, 187540 with a z-score, mean beta 1.437, mean |dev| 29.2 bp
    thr    k  trades  gross bp   median     win  net@3.40  net@10.26       t
    1.5    8    4491    +2.707   +3.758   56.0%    -0.693     -7.553   +3.80
    1.5   16    3223    +3.178   +5.353   56.7%    -0.222     -7.082   +3.02
    1.5   32    2353    +3.950   +7.918   57.0%    +0.550     -6.310   +2.52
    2.0    8    2441    +2.354   +3.429   55.6%    -1.046     -7.906   +2.26
    2.0   16    1785    +3.832   +6.848   57.6%    +0.432     -6.428   +2.47
    2.0   32    1425    +3.530   +7.248   57.0%    +0.130     -6.730   +1.60
    2.5    8    1352    +2.842   +4.434   55.8%    -0.558     -7.418   +1.75
    2.5   16    1003    +2.220   +5.458   56.1%    -1.180     -8.040   +0.92
    2.5   32     858    +2.765   +5.680   55.7%    -0.635     -7.495   +0.94
    3.0    8     787    +0.782   +1.736   52.1%    -2.618     -9.478   +0.33
    3.0   16     604    +4.766   +5.737   56.5%    +1.366     -5.494   +1.33
    3.0   32     535    +5.374   +5.086   54.0%    +1.974     -4.886   +1.24
    4.0    8     299    +4.049   +1.452   51.8%    +0.649     -6.211   +0.69
    4.0   16     233    +6.716   +3.370   54.1%    +3.316     -3.544   +1.00
    4.0   32     216    +6.688   +6.387   54.2%    +3.288     -3.572   +0.91

